epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24712,0.49818,0.3562,0.92367,0.98117,0.98682,0.98906,0.92357,0.42184,0.25695,0.84808,0.000374398,0.000374398,0.000374398
43,25292.5,0.50121,0.34901,0.92241,0.97743,0.9858,0.98958,0.92447,0.40927,0.24562,0.84398,0.000348676,0.000348676,0.000348676
44,25872.4,0.49684,0.34678,0.92501,0.98912,0.97205,0.98825,0.92316,0.40812,0.23622,0.84561,0.000322954,0.000322954,0.000322954
45,26451.2,0.49017,0.34822,0.92112,0.95858,0.98059,0.98825,0.91636,0.41497,0.27851,0.84962,0.000297232,0.000297232,0.000297232
46,27030.2,0.4143,0.24374,0.87676,0.98674,0.97068,0.98949,0.91456,0.42305,0.25315,0.85566,0.00027151,0.00027151,0.00027151
47,27610.9,0.4079,0.23147,0.86897,0.9881,0.97491,0.9892,0.9195,0.41624,0.25143,0.84938,0.000245788,0.000245788,0.000245788
48,28183.1,0.40743,0.23917,0.8734,0.98828,0.97231,0.98817,0.92132,0.41736,0.2442,0.84792,0.000220066,0.000220066,0.000220066
49,28755.4,0.4034,0.23352,0.86966,0.98691,0.9811,0.9904,0.92541,0.41391,0.23683,0.84353,0.000194344,0.000194344,0.000194344
50,29338.9,0.40109,0.22547,0.86688,0.98793,0.9815,0.98663,0.92015,0.40774,0.2385,0.84227,0.000168622,0.000168622,0.000168622
51,29911.8,0.39457,0.21502,0.86117,0.98821,0.98182,0.98548,0.91979,0.40224,0.22942,0.83961,0.0001429,0.0001429,0.0001429
52,30487.2,0.39332,0.21356,0.86577,0.99136,0.9809,0.98564,0.92096,0.40737,0.22572,0.84368,0.000117178,0.000117178,0.000117178
53,31068.4,0.39074,0.2111,0.86032,0.98425,0.98701,0.98581,0.92047,0.40345,0.22474,0.83686,9.1456e-05,9.1456e-05,9.1456e-05
54,31643,0.38357,0.20625,0.85828,0.99086,0.98182,0.98662,0.92353,0.39965,0.21281,0.83771,6.5734e-05,6.5734e-05,6.5734e-05
55,32216.6,0.38143,0.20097,0.86076,0.9908,0.98119,0.98682,0.92889,0.39998,0.21362,0.83653,4.0012e-05,4.0012e-05,4.0012e-05
